id,severity,severityBand,type,ruleId,ruleName,category,engine,file,filePath,line,description,count,affectedFiles,match,snippet
Deadweight Exported Function-server/lib/assessment-retention.js-8,low,low,Deadweight Exported Function,,,,,server/lib/assessment-retention.js,server/lib/assessment-retention.js,8,"server/lib/assessment-retention.js:8 Deadweight Exported Function: Exported function ""purgeExpiredAssessments"" has no call sites in this file",1,server/lib/assessment-retention.js,,
Deadweight Exported Function-ai-platform/server/api/assessment/routes.cjs-16,low,low,Deadweight Exported Function,,,,,ai-platform/server/api/assessment/routes.cjs,ai-platform/server/api/assessment/routes.cjs,16,"ai-platform/server/api/assessment/routes.cjs:16 Deadweight Exported Function: Exported function ""setupAssessmentRoutes"" has no call sites in this file",1,ai-platform/server/api/assessment/routes.cjs,,
Deadweight Exported Function-ai-platform/server/bootstrap/phase2-integration.cjs-398,low,low,Deadweight Exported Function,,,,,ai-platform/server/bootstrap/phase2-integration.cjs,ai-platform/server/bootstrap/phase2-integration.cjs,398,"ai-platform/server/bootstrap/phase2-integration.cjs:398 Deadweight Exported Function: Exported function ""setupPhase2Integration"" has no call sites in this file",1,ai-platform/server/bootstrap/phase2-integration.cjs,,
Deadweight Exported Function-ai-platform/server/bootstrap/phase2-integration.cjs-475,low,low,Deadweight Exported Function,,,,,ai-platform/server/bootstrap/phase2-integration.cjs,ai-platform/server/bootstrap/phase2-integration.cjs,475,"ai-platform/server/bootstrap/phase2-integration.cjs:475 Deadweight Exported Function: Exported function ""readDashboardSnapshot"" has no call sites in this file",1,ai-platform/server/bootstrap/phase2-integration.cjs,,
Deadweight Exported Function-ai-platform/server/bootstrap/public-api-routes.cjs-280,low,low,Deadweight Exported Function,,,,,ai-platform/server/bootstrap/public-api-routes.cjs,ai-platform/server/bootstrap/public-api-routes.cjs,280,"ai-platform/server/bootstrap/public-api-routes.cjs:280 Deadweight Exported Function: Exported function ""isPublicApiRequest"" has no call sites in this file",1,ai-platform/server/bootstrap/public-api-routes.cjs,,
