id,type,severity,filePath,line,description,count,affectedFiles
duplicate-b6d10a68,Duplicate Data,low,"C:\\Users\\Trevor\\CascadeProjects\\coming-soon\\public\\dashboard\\trust-verification.json",,"4 files share identical JSON content",4,"coming-soon/public/dashboard/trust-verification.json;ai-platform/web/simplebeacon-dashboard/trust-verification.json;simplebeacon-vscode-merged/dashboard-web/trust-verification.json;simplebeacon-vscode-merged/vsix-inspect/extension/dashboard-web/trust-verification.json"
duplicate-7fe59fd7,Duplicate Data,low,"C:\\Users\\Trevor\\CascadeProjects\\coming-soon\\public\\dashboard\\js\\demo\\demo-audit.json",,"4 files share identical JSON content",4,"coming-soon/public/dashboard/js/demo/demo-audit.json;ai-platform/web/simplebeacon-dashboard/js/demo/demo-audit.json;simplebeacon-vscode-merged/dashboard-web/js/demo/demo-audit.json;simplebeacon-vscode-merged/vsix-inspect/extension/dashboard-web/js/demo/demo-audit.json"
duplicate-869f2b2e,Duplicate Data,low,"C:\\Users\\Trevor\\CascadeProjects\\coming-soon\\public\\dashboard\\js\\demo\\demo-report.json",,"4 files share identical JSON content",4,"coming-soon/public/dashboard/js/demo/demo-report.json;ai-platform/web/simplebeacon-dashboard/js/demo/demo-report.json;simplebeacon-vscode-merged/dashboard-web/js/demo/demo-report.json;simplebeacon-vscode-merged/vsix-inspect/extension/dashboard-web/js/demo/demo-report.json"
SB-SEC-006-ai-platform/server/routes/external-weather-api.cjs,missing-rate-limit,medium,ai-platform/server/routes/external-weather-api.cjs,,"API endpoint without rate limiting — DoS risk",1,"ai-platform/server/routes/external-weather-api.cjs"
SB-SEC-006-ai-platform/server/routes/proxy-ollama-api.cjs,missing-rate-limit,medium,ai-platform/server/routes/proxy-ollama-api.cjs,,"API endpoint without rate limiting — DoS risk",1,"ai-platform/server/routes/proxy-ollama-api.cjs"
framework-practices-App.tsx,framework-practices,low,ai-platform/web/simplebeacon-dashboard/src/App.tsx,73,"useEffect pattern detected — review hook usage",1,"ai-platform/web/simplebeacon-dashboard/src/App.tsx"
framework-practices-useAuth,framework-practices,low,ai-platform/web/simplebeacon-dashboard/src/hooks/useAuth.ts,10,"useEffect pattern detected — review hook usage",1,"ai-platform/web/simplebeacon-dashboard/src/hooks/useAuth.ts"
framework-practices-useTheme,framework-practices,low,ai-platform/web/simplebeacon-dashboard/src/hooks/useTheme.ts,7,"useEffect pattern detected — review hook usage",1,"ai-platform/web/simplebeacon-dashboard/src/hooks/useTheme.ts"
framework-practices-ChatbotView,framework-practices,low,ai-platform/web/simplebeacon-dashboard/src/views/ChatbotView.tsx,124,"useEffect pattern detected — review hook usage",1,"ai-platform/web/simplebeacon-dashboard/src/views/ChatbotView.tsx"
