number,title,url
"715","[TODO] web\dashboard\js\views\RemediationRoadmapView.js:585 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/715"
"714","[TODO] web\dashboard\js\views\DashboardView.js:529 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/714"
"713","[TODO] web\dashboard\js\views\DashboardView.js:380 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/713"
"712","[TODO] web\dashboard\js\views\DashboardView.js:312 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/712"
"711","[TODO] web\dashboard\js\views\DashboardView.js:265 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/711"
"710","[TODO] web\dashboard\js\views\DashboardView.js:250 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/710"
"709","[TODO] web\dashboard\js\views\DashboardView.js:226 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/709"
"708","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:696 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/708"
"707","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:547 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/707"
"706","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:536 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/706"
"705","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:524 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/705"
"704","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:511 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/704"
"703","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:490 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/703"
"702","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:359 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/702"
"701","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:340 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/701"
"700","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:167 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/700"
"699","[TODO] web\dashboard\js\views\ChatbotView.js.patch-fix:38 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/699"
"697","[TODO] web\dashboard\js\views\ChatbotView.js:694 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/697"
"696","[TODO] web\dashboard\js\views\ChatbotView.js:545 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/696"
"695","[TODO] web\dashboard\js\views\ChatbotView.js:534 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/695"
"694","[TODO] web\dashboard\js\views\ChatbotView.js:522 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/694"
"693","[TODO] web\dashboard\js\views\ChatbotView.js:509 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/693"
"692","[TODO] web\dashboard\js\views\ChatbotView.js:488 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/692"
"691","[TODO] web\dashboard\js\views\ChatbotView.js:357 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/691"
"690","[TODO] web\dashboard\js\views\ChatbotView.js:338 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/690"
"689","[TODO] web\dashboard\js\views\ChatbotView.js:165 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/689"
"688","[TODO] web\dashboard\js\views\ChatbotView.js:36 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/688"
"687","[TODO] web\dashboard\js\views\AnalyzeView.js:9080 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/687"
"686","[TODO] web\dashboard\js\views\AnalyzeView.js:226 — (security): review innerHTML usage here and sanitize dynamic content where applicable","https://github.com/tjp420/CascadeProjects/issues/686"
"677","[TODO] server\middleware\__tests__\upload-security.test.cjs:23 — cleanup mocks and test artifacts","https://github.com/tjp420/CascadeProjects/issues/677"
"676","[TODO] server\middleware\__tests__\upload-security.test.cjs:19 — initialize mock storage","https://github.com/tjp420/CascadeProjects/issues/676"
